#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-12-07T20:02:09 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-12-07T20:02:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_RAJ,_DEJ&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=V/50/catalog&-order=I&-out=HR&-out=Name&-out=HD&-out=ADS&-out=VarID&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=B-V&-out=SpType&-out=NoteFlag&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#INFO	ivoid=ivo://cds.vizier/v/50	    IVOID of underlying data collection
#INFO	creator=Hoffleit D.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/50	    Dataset landing page
#INFO	publication_date=1997-12-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Name, generally Bayer and/or Flamsteed name	[ucd=meta.id]
#Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
#Column	ADS	(a5)	Aitken's Double Star Catalog (ADS) designation	[ucd=meta.id]
#Column	VarID	(a9)	Variable star identification	[ucd=meta.id]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a20)	Spectral type	[ucd=src.spType]
#Column	NoteFlag	(A1)	[*] a star indicates that there is a note (see file notes)	[ucd=meta.note]
_RAJ2000|_DEJ2000|HR|Name|HD|ADS|VarID|RAJ2000|DEJ2000|Vmag|B-V|SpType|NoteFlag
003.041667|-17.938333|  37|          |   787|     |         |00 12 10.0|-17 56 18| 5.25| 1.48|  K5III             |
003.210000|+37.693333|  38|          |   829|     |         |00 12 50.4|+37 41 36| 6.73|-0.13|  B2V               |*
003.309167|+15.183611|  39| 88Gam Peg|   886|     |Gam Peg  |00 13 14.2|+15 11 01| 2.83|-0.23|  B2IV              |*
003.350000|+26.987222|  40|          |   895|  161|         |00 13 24.0|+26 59 14| 6.30| 0.65|  G0III             |*
003.378333|+41.035278|  41| 23    And|   905|     |         |00 13 30.8|+41 02 07| 5.72| 0.31|  F0IV              |
003.425417|-26.021944|  42|          |   942|     |   96    |00 13 42.1|-26 01 19| 5.94| 1.55|  K5III             |
003.434167|-26.284722|  43|          |   943|     |         |00 13 44.2|-26 17 05| 6.31| 1.48|  K5III             |
003.509583|+33.206111|  44|          |   952|     |         |00 14 02.3|+33 12 22| 6.25|-0.01|  A1V               |
003.650833|+20.206667|  45| 89Chi Peg|  1013|     |   99    |00 14 36.2|+20 12 24| 4.80| 1.57|  M2+III            |*
003.615000| -7.780556|  46|          |  1014|  180|AD Cet   |00 14 27.6|-07 46 50| 5.12| 1.62|  M3+III            |*
003.330833|-84.994167|  47|          |  1032|     |         |00 13 19.4|-84 59 39| 5.77| 1.72|  M0-1III           |
003.660000|-18.932778|  48|  7    Cet|  1038|     |AE Cet   |00 14 38.4|-18 55 58| 4.44| 1.66|  M3III             |*
003.733750|+22.284167|  49|          |  1048|     |         |00 14 56.1|+22 17 03| 6.24|-0.01|  A1pSi             |*
003.745000| +8.820833|  50| 35    Psc|  1061|  191|UU Psc   |00 14 58.8|+08 49 15| 5.79| 0.31|  F0IV              |*
003.727083| -9.569722|  51|          |  1064|     |         |00 14 54.5|-09 34 11| 5.75|-0.08|  B9V               |
003.779167|+31.535833|  52|          |  1075|     |         |00 15 07.0|+31 32 09| 6.45|     |  K5                |
003.794167|+27.283056|  53|          |  1083|     |         |00 15 10.6|+27 16 59| 6.35|-0.02|  A1Vn              |*
003.742500|-34.904444|  54|          |  1089|     |         |00 14 58.2|-34 54 16| 6.17| 1.34|  K3III             |
004.058333|+76.950833|  55|          |  1141|  207|         |00 16 14.0|+76 57 03| 6.35|-0.07|  B8Vnn             |*
004.090000|+43.594722|  56|          |  1185|  215|         |00 16 21.6|+43 35 41| 6.15| 0.05|  A2VpSi            |*
004.037083|-31.446389|  57|          |  1187|     |         |00 16 08.9|-31 26 47| 5.67| 1.35|  K5III             |*
003.980000|-75.911389|  58|          |  1221|     |         |00 15 55.2|-75 54 41| 6.49| 1.00|  G8-K0III          |
004.142083| +8.240000|  59| 36    Psc|  1227|     |         |00 16 34.1|+08 14 24| 6.11| 0.92|  G8II-III          |
004.237917|+61.533333|  60|          |  1239|  222|         |00 16 57.1|+61 32 00| 5.74| 0.88|  G8III             |*
004.177083|-20.210556|  61|          |  1256|     |  113    |00 16 42.5|-20 12 38| 6.47|-0.09|  B8III             |*
004.287917|+47.947500|  62|          |  1279|     |         |00 17 09.1|+47 56 51| 5.89|-0.09|  B7III             |
004.272917|+38.681667|  63| 24The And|  1280|     |  116    |00 17 05.5|+38 40 54| 4.61| 0.06|  A2V               |*
004.204167|-78.780556|  64|          |  1324|     |         |00 16 49.0|-78 46 50| 6.77| 0.46|  F3III             |
004.429167|+51.433056|  65|          |  1337|     |AO Cas   |00 17 43.0|+51 25 59| 6.14|-0.13|  O9IIInn           |*
004.385833|-19.051111|  66|          |  1343|     |         |00 17 32.6|-19 03 04| 6.45| 0.37|  F4IV-V            |
004.448750| +1.688889|  67|          |  1367|     |         |00 17 47.7|+01 41 20| 6.17| 0.94|  K0II              |
004.582083|+36.785278|  68| 25Sig And|  1404|     |  118    |00 18 19.7|+36 47 07| 4.52| 0.05|  A2V               |*
004.571667|+11.205833|  69|          |  1419|     |         |00 18 17.2|+11 12 21| 6.05| 1.03|  K0III             |
004.675417|+43.791111|  70| 26    And|  1438|  254|  119    |00 18 42.1|+43 47 28| 6.11|-0.08|  B8V               |*
004.659583|+31.517222|  71|          |  1439|     |         |00 18 38.3|+31 31 02| 5.87|-0.01|  A0IV              |
004.674167| -8.052778|  72|          |  1461|     |         |00 18 41.8|-08 03 10| 6.46| 0.68|  G0V               |*
004.677500|-43.235278|  73|          |  1483|     |         |00 18 42.6|-43 14 07| 6.33| 1.21|  K2III             |
004.857083| -8.823889|  74|  8Iot Cet|  1522|     |  123    |00 19 25.7|-08 49 26| 3.56| 1.22|  K1.5III           |*
004.923333|+40.729722|  75|          |  1527|     |         |00 19 41.6|+40 43 47| 6.33| 1.18|  K1III             |
005.021667|+48.865278|  76|          |  1561|     |         |00 20 05.2|+48 51 55| 6.52|     |  A0V s             |
005.017917|-64.874722|  77|   Zet Tuc|  1581|     |         |00 20 04.3|-64 52 29| 4.23| 0.58|  F9V               |
005.101667|+30.935833|  78|          |  1606|     |  128    |00 20 24.4|+30 56 09| 5.90|-0.10|  B7V               |
005.189583|+32.911389|  79|          |  1632|     |         |00 20 45.5|+32 54 41| 5.79| 1.59|  K5III             |
005.149583| +8.190278|  80| 41    Psc|  1635|     |  132    |00 20 35.9|+08 11 25| 5.37| 1.34| gK3                |
005.227083|+10.976944|  81|          |  1663|  287|         |00 20 54.5|+10 58 37| 6.56|     |  A0V               |*
005.280417|+37.968611|  82| 27Rho And|  1671|     |         |00 21 07.3|+37 58 07| 5.18| 0.42|  F5III             |
005.162500|-69.625000|  83|   Pi  Tuc|  1685|     |         |00 20 39.0|-69 37 30| 5.51|-0.05|  B9V               |
005.380000|-28.981667|  84|   Iot Scl|  1737|     |         |00 21 31.2|-28 58 54| 5.18| 1.00|  G5III             |
005.442917|-20.057778|  85|          |  1760|     |T Cet    |00 21 46.3|-20 03 28| 5.12| 1.82|  M5IIe             |*
005.606250|+13.482500|  86| 42    Psc|  1796|  303|         |00 22 25.5|+13 28 57| 6.23| 1.22|  K3III             |*
005.369167|-77.426944|  87|          |  1801|     |         |00 21 28.6|-77 25 37| 5.97| 1.40|  K3III             |
005.715833|-12.209444|  88|  9    Cet|  1835|     |BE Cet   |00 22 51.8|-12 12 34| 6.39| 0.66|  G2V               |*
005.802500|-31.036111|  89|          |  1909|     |         |00 23 12.6|-31 02 10| 6.55| 0.00|  B9IVMn            |*
006.008333|+38.577222|  90|          |  1967|     |R And    |00 24 02.0|+38 34 38| 7.39| 1.97|  S6.5IIIeZr6Ti2    |*
006.065000|+52.020000|  91|          |  1976|  328|  155    |00 24 15.6|+52 01 12| 5.57|-0.12|  B5IV              |*
          |          |  92| NOVA 1572|      |     |B Cas    |          |         |     |     |                    |*
006.197917|+61.831111|  93| 12    Cas|  2011|     |         |00 24 47.5|+61 49 52| 5.40| 0.00|  B9III             |
006.123750| -2.219167|  94|          |  2023|     |         |00 24 29.7|-02 13 09| 6.07| 1.22|  K1III             |
          |          |  95| 47    Tuc|      |     |         |          |         |     |     |                    |*
006.276667|+53.046944|  96|          |  2054|     |  159    |00 25 06.4|+53 02 49| 5.74|-0.06|  B9IV              |*
006.350833| +1.939722|  97| 44    Psc|  2114|     |         |00 25 24.2|+01 56 23| 5.77| 0.86|  G5III             |*
006.437917|-77.254167|  98|   Bet Hyi|  2151|     |  161    |00 25 45.1|-77 15 15| 2.80| 0.62|  G2IV              |*
006.570833|-42.306111|  99|   Alp Phe|  2261|     |         |00 26 17.0|-42 18 22| 2.39| 1.09|  K0III             |*
006.550833|-43.680000| 100|   Kap Phe|  2262|     |         |00 26 12.2|-43 40 48| 3.94| 0.17|  A7V               |
006.655833| -0.049722| 101| 10    Cet|  2273|     |Var?     |00 26 37.4|-00 02 59| 6.19| 0.90|  G8III             |*
006.811250|-25.547222| 102|          |  2363|     |         |00 27 14.7|-25 32 50| 5.98| 1.03|  G8III             |
007.012083|+17.893056| 103| 47    Psc|  2411|     |TV Psc   |00 28 02.9|+17 53 35| 5.06| 1.65|  M3III             |*
007.057083|+44.394444| 104|          |  2421|     |         |00 28 13.7|+44 23 40| 5.17| 0.03|  A2V s             |*
006.982083|-33.007222| 105|   Eta Scl|  2429|     |Eta Scl  |00 27 55.7|-33 00 26| 4.81| 1.64|  M4III             |*
007.052917|+16.445000| 106| 48    Psc|  2436|     |         |00 28 12.7|+16 26 42| 6.06| 1.58|  K5III             |
007.083750|+10.189722| 107|          |  2454|     |         |00 28 20.1|+10 11 23| 6.04| 0.43|  F6Va vw           |*
007.087917|-20.335000| 108|          |  2475|     |         |00 28 21.1|-20 20 06| 6.43| 0.59|  G0V               |*
007.110000|-39.915000| 109|          |  2490|     |         |00 28 26.4|-39 54 54| 5.43| 1.56|  M0III             |*
007.235833|+36.900000| 110|          |  2507|     |         |00 28 56.6|+36 54 00| 6.26| 0.92|  G5III             |
007.179583|-50.532778| 111|          |  2529|     |         |00 28 43.1|-50 31 58| 6.26| 1.09|  K0III             |
007.729167|+77.019444| 112|          |  2589|     |         |00 30 55.0|+77 01 10| 6.21| 0.84|  K0IV              |*
007.582917|+59.977222| 113|          |  2626|  412|         |00 30 19.9|+59 58 38| 5.94| 0.01|  B9IIIn            |*
007.530417|+29.751667| 114| 28    And|  2628|  409|GN And   |00 30 07.3|+29 45 06| 5.23| 0.24|  A7III             |*
007.466250|-14.864167| 115|          |  2630|     |         |00 29 51.9|-14 51 51| 6.14| 0.37|  F2III             |*
007.453750|-32.116667| 116|          |  2632|     |         |00 29 48.9|-32 07 00| 6.57| 1.34|  K4III             |
007.510000| -3.957222| 117| 12    Cet|  2637|  410|         |00 30 02.4|-03 57 26| 5.72| 1.56|  M0III             |*
007.594583|-23.787778| 118|          |  2696|     |         |00 30 22.7|-23 47 16| 5.19| 0.12|  A5Vn              |*
007.615833|-40.939444| 119|          |  2724|     |BB Phe   |00 30 27.8|-40 56 22| 6.19| 0.33|  F2III             |*
007.608750|-48.215000| 120|          |  2726|     |         |00 30 26.1|-48 12 54| 5.69| 0.35|  F2V               |
007.855417|+66.519444| 121| 13    Cas|  2729|     |         |00 31 25.3|+66 31 10| 6.18|-0.10|  B6V               |*
007.856667|+33.581667| 122|          |  2767|     |         |00 31 25.6|+33 34 54| 5.87| 1.14|  K1III             |
007.943333|+54.522222| 123| 14Lam Cas|  2772|  434|         |00 31 46.4|+54 31 20| 4.73|-0.10|  B8Vn              |*
007.921667|+52.839444| 124|          |  2774|     |         |00 31 41.2|+52 50 22| 5.60| 1.15|  K2III             |
007.854167|-48.803611| 125|   Lam1Phe|  2834|     |         |00 31 25.0|-48 48 13| 4.77| 0.02|  A0V               |*
007.886250|-62.958056| 126|   Bet1Tuc|  2884|     |         |00 31 32.7|-62 57 29| 4.37|-0.07|  B9V               |*
007.890000|-62.965833| 127|   Bet2Tuc|  2885|     |         |00 31 33.6|-62 57 57| 4.54| 0.15|  A2V+A7V           |*
008.111667|+43.494722| 128|          |  2888|     |         |00 32 26.8|+43 29 41| 6.70|-0.01|  A1Vn              |*
008.330417|+70.981667| 129|          |  2904|     |         |00 33 19.3|+70 58 54| 6.42|-0.01|  A0Vn              |
008.250000|+62.931667| 130| 15Kap Cas|  2905|     |Kap Cas  |00 33 00.0|+62 55 54| 4.16| 0.14|  B1Ia              |*
008.147917|+20.294444| 131| 52    Psc|  2910|  452|         |00 32 35.5|+20 17 40| 5.38| 1.08|  K0III             |
008.099167| +6.955556| 132| 51    Psc|  2913|  449|Var?     |00 32 23.8|+06 57 20| 5.67| 0.00|  B9.5V             |*
008.143750|+27.580556| 133|          |  2924|     |         |00 32 34.5|+27 34 50| 6.67|     |  A2IV              |
008.204583|+28.280278| 134|          |  2942|  455|         |00 32 49.1|+28 16 49| 6.30| 1.00|  K0III             |*
008.293333|+54.895000| 135|          |  2952|     |         |00 33 10.4|+54 53 42| 5.93| 1.04|  K0III             |
008.182500|-63.031111| 136|   Bet3Tuc|  3003|     |         |00 32 43.8|-63 01 52| 5.09| 0.04|  A0V               |*
008.603750|+66.750278| 137| 16    Cas|  3038|     |         |00 34 24.9|+66 45 01| 6.48|-0.08|  B9III             |
008.421250|-29.558333| 138|          |  3059|     |         |00 33 41.1|-29 33 30| 5.55| 1.27|  K2III             |*
008.347083|-71.266111| 139|   The Tuc|  3112|     |The Tuc  |00 33 23.3|-71 15 58| 6.13| 0.23|  A7IV              |*
008.615833|-52.373056| 140|          |  3158|     |         |00 34 27.8|-52 22 23| 5.57| 0.47|  F3IV-V            |
008.730417|+13.371111| 141|          |  3166|     |         |00 34 55.3|+13 22 16| 6.40|     |  K0                |
008.812083| -3.592778| 142| 13    Cet|  3196|  490|  212    |00 35 14.9|-03 35 34| 5.20| 0.56|  F8V               |*
008.886667| -0.505556| 143| 14    Cet|  3229|     |         |00 35 32.8|-00 30 20| 5.93| 0.44|  F5IV              |
009.034583|+54.168611| 144|          |  3240|     |         |00 36 08.3|+54 10 07| 5.08|-0.11|  B7III             |
008.977917|+13.206667| 145|          |  3268|     |         |00 35 54.7|+13 12 24| 6.41| 0.52|  F7V               |
009.113750|+60.326111| 146|          |  3283|     |         |00 36 27.3|+60 19 34| 5.79| 0.29|  A4III             |*
008.921250|-48.000833| 147|   Lam2Phe|  3302|     |         |00 35 41.1|-48 00 03| 5.51| 0.44|  F6V               |
008.889167|-54.821944| 148|          |  3303|     |  219    |00 35 33.4|-54 49 19| 6.06| 1.01|  K0IV              |
009.083333|+27.254722| 149|          |  3322|     |  221    |00 36 20.0|+27 15 17| 6.50|-0.09|  B8IIIpHgMn:       |*
009.012500|-14.973611| 150|          |  3325|     |         |00 36 03.0|-14 58 25| 6.45| 1.06|  G9III             |
009.028750|-22.842500| 151|          |  3326|     |BG Cet   |00 36 06.9|-22 50 33| 6.06| 0.29|  A6pSr             |*
009.194167|+44.488611| 152|          |  3346|     |         |00 36 46.6|+44 29 19| 5.13| 1.60|  K5-M0III          |
009.242917|+53.896944| 153| 17Zet Cas|  3360|     |  225    |00 36 58.3|+53 53 49| 3.66|-0.20|  B2IV              |*
009.220417|+33.719444| 154| 29Pi  And|  3369|  513|  227    |00 36 52.9|+33 43 10| 4.36|-0.14|  B5V               |*
009.197083|+15.231667| 155| 53    Psc|  3379|     |AG Psc   |00 36 47.3|+15 13 54| 5.89|-0.15|  B2.5IV            |*
009.280000|+24.014167| 156|          |  3411|     |         |00 37 07.2|+24 00 51| 6.47|     |  K2III             |
009.337917|+35.399444| 157|          |  3421|     |         |00 37 21.1|+35 23 58| 5.48| 0.88|  G2.5IIa           |
009.947083|+82.493889| 158|          |  3440|     |  235    |00 39 47.3|+82 29 38| 6.40| 0.55| dF6                |
009.336250|-24.767222| 159|          |  3443|  520|         |00 37 20.7|-24 46 02| 5.57| 0.72|  G8V               |*
009.155833|-65.124722| 160|          |  3444|     |         |00 36 37.4|-65 07 29| 6.42| 1.26|  K2-3III           |
009.377083| +3.135278| 161|          |  3457|     |         |00 37 30.5|+03 08 07| 6.39| 1.33|  K4III             |*
009.325417|-54.394167| 162|          |  3488|     |         |00 37 18.1|-54 23 39| 6.41| 1.00|  K0II-IIICNIV      |
009.638750|+29.311667| 163| 30Eps And|  3546|     |         |00 38 33.3|+29 18 42| 4.37| 0.87|  G6IIIFe-3CH1      |
009.791250|+49.354444| 164|          |  3574|  546|         |00 39 09.9|+49 21 16| 5.43| 1.64|  K7III             |*
009.832083|+30.860833| 165| 31Del And|  3627|  548|         |00 39 19.7|+30 51 39| 3.27| 1.28|  K3III             |*
009.840833|+21.250556| 166| 54    Psc|  3651|     |  245    |00 39 21.8|+21 15 02| 5.87| 0.85|  K0+V              |*
009.981667|+21.438333| 167| 55    Psc|  3690|  558|         |00 39 55.6|+21 26 18| 5.36| 1.16|  K0III+F3V         |*
010.127083|+56.537222| 168| 18Alp Cas|  3712|  561|Alp Cas  |00 40 30.5|+56 32 14| 2.23| 1.17|  K0IIIa            |*
009.670000|-73.137222| 169|          |  3719|     |         |00 38 40.8|-73 08 14| 6.85| 0.11|  A1m               |
009.991250|-33.961667| 170|          |  3735|     |Z Scl    |00 39 57.9|-33 57 42| 6.69| 0.51|  F8V               |*
009.966667|-44.796667| 171|          |  3750|     |         |00 39 52.0|-44 47 48| 6.01| 1.14|  K1IIICNII         |
010.119167|-16.516944| 172|          |  3794|     |         |00 40 28.6|-16 31 01| 6.49| 0.92|  G5                |
010.137083|-23.804444| 173|          |  3795|     |         |00 40 32.9|-23 48 16| 6.14| 0.70|  G3V               |
010.176667| -4.351944| 174|          |  3807|     |         |00 40 42.4|-04 21 07| 5.91| 1.10|  K0III             |
010.280000|+39.458611| 175| 32    And|  3817|     |         |00 41 07.2|+39 27 31| 5.33| 0.89|  G8III             |*
010.110000|-59.454444| 176|          |  3823|     |         |00 40 26.4|-59 27 16| 5.89| 0.55|  G1V               |
010.514167|+66.147500| 177|          |  3856|     |         |00 42 03.4|+66 08 51| 5.83| 1.04|  G9III-IV          |
010.400000|+24.629167| 178|          |  3883|     |  258    |00 41 36.0|+24 37 45| 6.04| 0.26|  A7m               |*
010.516250|+50.512500| 179| 19Xi  Cas|  3901|     |  260    |00 42 03.9|+50 30 45| 4.80|-0.11|  B2V               |*
010.331667|-46.085000| 180|   Mu  Phe|  3919|     |         |00 41 19.6|-46 05 06| 4.59| 0.97|  G8III             |*
010.629583|+58.753333| 181|          |  3924|     |         |00 42 31.1|+58 45 12| 6.17|-0.01|  B9.5III           |
